松林 麻実子 ( 2020年度: 筑波大学, 図書館情報メディア系, 講師 )= 0.0022088188042361694
吉川 耕司 ( 2020年度: 筑波大学, 計算科学研究センター, 講師 )= 0.002189759865975263
今倉 暁 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0021669252782195335
松崎 一葉 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.002065593277841575
宮内 卓 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.002065279765509496
麻見 直美 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0020465436886628716
安成 哲三 ( 2020年度: 総合地球環境学研究所, 研究部, 所長 )= 0.002036002787465987
飯塚 里志 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0019959305424766013
三好 千香 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.001981047923029664
久野 誉人 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0019792241938734988
山口 佳樹 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0019408353973493207
白井 哲哉 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0019059214065643953
呑海 沙織 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.001891746724485089
三原 鉄也 ( 2020年度: 筑波大学, 図書館情報メディア系, 特任助教 )= 0.0018841927136023023
葛岡 英明 ( 2020年度: 東京大学, 大学院情報理工学系研究科, 教授 )= 0.0018311627143883036
島野 仁 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0016732568310052955
大庭 一郎 ( 2020年度: 筑波大学, 図書館情報メディア系, 講師 )= 0.0016573557875854453
杉山 文博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0016534302550586689
高木 英樹 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0016460768204666948
吉田 右子 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0016280578345741184
溝上 智惠子 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0016278600086275365
笹原 信一朗 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0016175680959909958
伊藤 誠 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0016116285883700356
村山 祐司 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0015799243037672342
目崎 登 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.001550498810555584
蔡 東生 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0015487687227549165
辻 泰明 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0015360571837178248
松枝 未遠 ( 2020年度: 筑波大学, 計算科学研究センター, 助教 )= 0.0015343742510729526
吉兼 隆生 ( 2020年度: 東京大学, 生産技術研究所, 特任准教授 )= 0.0015343742510729526
