黒澤 正紀 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0013310099889301363
本間 三和子 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001330264454808299
福島 敬 ( 2020年度: 埼玉医科大学, 医学部, 准教授 )= 0.0013284444229148063
岡田 晋 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0013283307686108086
加藤 和彦 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0013278511730613826
大嶋 建一 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0013154990880963158
笹 公和 ( 2020年度: 筑波大学, 数理物質系, 准教授 )= 0.0013100215681423682
甲斐 雄一郎 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0012993273199823267
礒田 博子 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.001297084382056776
岡出 美則 ( 2020年度: 日本体育大学, スポーツ文化学部, 教授 )= 0.0012963133187654024
伊藤 光弘 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0012959827576080052
熊谷 嘉人 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0012957253728400919
徳山 薫平 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0012930466795611569
新井 哲明 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0012878148886508488
熊田 博明 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0012866465193979806
森嶋 厚行 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0012754827004901482
前田 清司 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001274720001350837
永田 恭介 ( 2020年度: 筑波大学, 医学医療系(学長), 学長 )= 0.001273459598877816
米田 宏樹 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0012730601077641664
筧 知之 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0012662816421435805
池内 淳 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0012628344927290878
櫻井 英幸 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0012606031093840436
藤田 淳一 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0012497132478844497
天笠 俊之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0012443877013902057
出川 洋介 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0012432602552041327
河野 了 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0012413584102063842
酒井 俊 ( 2020年度: 筑波技術大学, 保健科学部, 教授 )= 0.0012363758210446954
浅野 美礼 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0012336262847794247
丸岡 照幸 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0012202943508089854
渡邉 和男 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0012183577652329957
久田 健一郎 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0012081198224539803
中山 剛 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.001206857056853163
逸村 裕 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0012065604242555187
松元 剛 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0012064101890586132
福田 崇 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0012036230089300995
辻村 真貴 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0012024378643201265
伊藤 誠 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.00120173051333984
佐々木 銀河 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.001201217546699889
木村 武史 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0012006312149929017
小島 崇宏 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0011990874568304501
田崎 博之 ( 2020年度: 筑波大学, 数理物質系, 准教授 )= 0.0011953629728512461
繁森 英幸 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0011925559294526469
矢澤 真人 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0011902566259350618
田林 明 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0011841292624137011
谷川 聡 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0011821533511829838
