community 1 =
中内 靖 : 2020年度: 筑波大学, システム情報系, 教授
落合 直之 : 2020年度: 筑波大学, 医学医療系(名誉教授), 名誉教授
河合 弘二 : 2020年度: 国際医療福祉大学, 国際医療福祉大学成田病院, 教授
前野 貴美 : 2020年度: 筑波大学, 医学医療系, 講師
田尻 和子 : 2020年度: 筑波大学, 医学医療系, 助教
2020年度: 国立研究開発法人医薬基盤・健康・栄養研究所, 医薬基盤研究所 霊長類医科学研究センター, 協力研究員
松本 孔貴 : 2020年度: 筑波大学, 医学医療系, 助教
磯 博康 : 2020年度: 大阪大学, 医学系研究科, 教授
2020年度: 国立研究開発法人国立国際医療研究センター, その他部局等, グローバルヘルス政策研究センター長
齋藤 誠 : 2020年度: 筑波大学, 医学医療系, 准教授
船越 祐司 : 2020年度: 筑波大学, 医学医療系, 助教
吉冨 徹 : 2020年度: 国立研究開発法人物質・材料研究機構, 機能性材料研究拠点, 主任研究員
山崎 正志 : 2020年度: 筑波大学, 医学医療系, 教授
池田 豊 : 2020年度: 筑波大学, 数理物質系, 助教
赤座 英之 : 2020年度: 東京大学, 大学院情報学環・学際情報学府, 特任教授
西山 博之 : 2020年度: 筑波大学, 医学医療系, 教授
西浦 康正 : 2020年度: 筑波大学, 医学医療系, 教授
豊村 順子 : 2020年度: 筑波大学, 医学医療系, 研究員
川上 康 : 2020年度: 筑波大学, 医学医療系, 教授
長岡 広香 : 2020年度: 筑波大学, 医学医療系, 講師
堀口 諭吉 : 2020年度: 東京医科歯科大学, 生体材料工学研究所, 助教
青沼 和隆 : 2020年度: 筑波大学, 医学医療系, 教授
中井 啓 : 2020年度: 筑波大学, 医学医療系, 准教授
正田 純一 : 2020年度: 筑波大学, 医学医療系, 教授
福光 延吉 : 2020年度: 神戸大学, 医学研究科, 客員准教授
相原 有希子 : 2020年度: 筑波大学, 医学医療系, 講師
榮 武二 : 2020年度: 筑波大学, 医学医療系, 教授
安部 哲哉 : 2020年度: 立命館大学, 理工学部, 嘱託講師
河本 浩明 : 2020年度: 筑波大学, システム情報系, 准教授
湯沢 賢治 : 2020年度: 独立行政法人国立病院機構水戸医療センター(臨床研究部), なし, 部長
長谷川 雄一 : 2020年度: 筑波大学, 医学医療系, 准教授
松阪 諭 : 2020年度: 筑波大学, 医学医療系, 教授
中川 嘉 : 2020年度: 富山大学, 学術研究部薬学・和漢系, 教授
木村 友和 : 2020年度: 筑波大学, 医学医療系, 講師
