鞠子 佳香 ( 2020年度: 女子栄養大学, 栄養学部, 専任講師 )= 0.001585204695126562
高橋 義雄 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.001562718264931441
河合 季信 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0015490178701815375
本田 靖 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0014778102215679907
大石 純子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0014720402209369916
浜田 淳 ( 2020年度: 筑波大学, 人間系, 講師 )= 0.0014593550740271619
勝田 茂 ( 2020年度: 東亜大学, その他の研究科, 客員教授 )= 0.0014495346672942105
渡辺 良夫 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001434631189233045
竹越 一博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0013694055247973627
岡本 嘉一 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0013389758839020887
巨瀬 勝美 ( 2020年度: 筑波大学, 数理物質系, 名誉教授 )= 0.0013338237326665737
石崎 和宏 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0013297154300392702
磯辺 智範 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001312745819901712
山本 早里 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0012939098588263735
仙石 泰雄 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0012850309929225432
柳沢 正史 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0012630806258983266
中田 由夫 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0012561882365231206
長谷川 悦示 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0012447698486992315
山口 拓 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.001242217475072055
鎌田 浩史 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0012409758346463723
緒形 ひとみ ( 2020年度: 広島大学, 人間社会科学研究科(総), 准教授 )= 0.001200982553963618
桜井 武 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001182797371091845
三木 ひろみ ( 2020年度: 流通経済大学, スポーツ健康科学部, 教授 )= 0.0011429758653439671
高橋 英幸 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0011407847528256008
永井 純 ( 2020年度: 聖徳大学, 児童学部, 教授 )= 0.0010998734838586024
河野 一郎 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0010590264847968513
北川 博之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.001046815170905271
矢野 博明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0010261140913562332
高橋 智 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0010115198666466288
井田 仁康 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0010075900265280968
本谷 聡 ( 2020年度: 筑波大学, 体育系, 講師 )= 0.001004924756072714
島野 仁 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00099766148018898
近藤 良享 ( 2020年度: 名古屋学院大学, スポーツ健康学部, 教授 )= 0.0009869922123702318
礒田 正美 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0009738392891521193
角川 隆明 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0009641181288007014
深澤 浩洋 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0009614462253858519
大石 久史 ( 2020年度: 名古屋市立大学, 医薬学総合研究院(医学), 教授 )= 0.0009442834744886711
根本 清貴 ( 2020年度: 筑波大学, 医学医療系, 准教授
2020年度: 株式会社国際電気通信基礎技術研究所, 脳情報通信総合研究所, 研究員 )= 0.0009435407730885076
渡邉 仁 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0009158042300790574
