吉田 右子 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0019032789738388253
大庭 一郎 ( 2020年度: 筑波大学, 図書館情報メディア系, 講師 )= 0.0018840497813688434
長谷川 秀彦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0018256377748498698
井出 政行 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.001808319697241857
辻 泰明 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0017701060217669485
高橋 智 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00176934634577876
田中 文英 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0016898870013437556
大槻 麻衣 ( 2020年度: 国立研究開発法人産業技術総合研究所, 情報・人間工学領域, 主任研究員 )= 0.001644626788435406
佐藤 誠 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0016268549526435958
保國 惠一 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0016159979401182427
伊藤 誠 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0016113485143901547
蔡 東生 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0016068066263482004
清水 一彦 ( 2020年度: 山梨県立大学, 国際政策学部, 学長 )= 0.0015730421822387891
安成 哲三 ( 2020年度: 総合地球環境学研究所, 研究部, 所長 )= 0.0015259925375988867
飯塚 里志 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.001507965736513178
石井 夏生利 ( 2020年度: 中央大学, 国際情報学部, 教授 )= 0.0015064965481414126
行方 大輔 ( 2020年度: 国立研究開発法人理化学研究所, 計算科学研究センター, 研究員 )= 0.0014893052742286593
中本 泰史 ( 2020年度: 東京工業大学, 理学院, 教授 )= 0.0014893052742286593
森田 ひろみ ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0013820879449729585
村山 祐司 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0013772124310182266
松村 敦 ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0013540404771372459
桜井 武 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001344950443164234
星野 准一 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0013227817860793738
田中 喜代次 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0012780454729465621
照山 絢子 ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0012532596923545713
関 洋平 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.001246913660404652
入鹿山 容子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0012253465582891157
照井 章 ( 2020年度: 筑波大学, 数理物質系, 准教授 )= 0.0012201466959414816
斉藤 毅 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0012195589798266711
水野 聖哉 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0012166447102818347
松本 浩一 ( 2020年度: 筑波大学, 図書館情報メディア系(名誉教授), 名誉教授 )= 0.0012072403847354968
中務 孝 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.001194229196119665
森本 健弘 ( 2020年度: 筑波大学, 生命環境系, 講師 )= 0.0011920959707457273
大森 肇 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0011852443101815543
松枝 未遠 ( 2020年度: 筑波大学, 計算科学研究センター, 助教 )= 0.0011444159686105372
吉兼 隆生 ( 2020年度: 東京大学, 生産技術研究所, 特任准教授 )= 0.0011444159686105372
大澤 義明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0011242740041107991
鍋倉 賢治 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001079588213234312
バールィシェフ エドワルド ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.00107463996246458
山海 嘉之 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0010670300566396524
手塚 太郎 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0010502917203890373
矢野 博明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0010416491313016583
丸島 愛樹 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0010344311149614327
北原 格 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0010178834632661611
吉瀬 章子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0010141293573702732
櫻井 英幸 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0010093278383773382
藤山 知之 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0009892155878109235
澁谷 長史 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0009711971338753438
Ｌｉｕ Ｑｉｎｇｈｕａ ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0009618533510186982
新井 哲明 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009584588546356061
上田 壮志 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0009435645791153844
松原 正樹 ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0009415920990110513
島野 仁 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009354014357205669
宮内 卓 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009294696430559889
若林 啓 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0009260505675948197
佐藤 哲司 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0009260505675948197
松崎 一葉 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000914956910969802
奥村 敏之 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0009091935839660681
高木 英樹 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0009085295234404193
鈴木 佳苗 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0008976093158536177
