田中 博 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.004614440250355071
森田 昌彦 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.004605422839610055
梅村 雅之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0045674037367263295
山本 幹雄 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.004369639155318014
高野 祐一 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0043691673571484065
堀江 和正 ( 2020年度: 筑波大学, 計算科学研究センター, 助教 )= 0.0043326682557074695
川島 英之 ( 2020年度: 慶應義塾大学, 環境情報学部(藤沢), 准教授 )= 0.004226682041719005
稲葉 信子 ( 2020年度: 筑波大学, 芸術系, 名誉教授 )= 0.004200579937354757
首藤 文洋 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.004136748534286408
田中 二郎 ( 2020年度: 早稲田大学, 理工学術院(情報生産システム研究科・センター), 教授(任期付) )= 0.004106492795370117
上野 友之 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.004100464759401902
北川 高嗣 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.004080297635588887
増田 知之 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.004027396883281246
フン・ドック トゥアン ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.00402169775432366
山下 亜紀郎 ( 2020年度: 筑波大学, 生命環境系, 助教 )= 0.0040207383999301335
山崎 剛 ( 2020年度: 東北大学, 理学研究科, 教授 )= 0.003982756733685117
安成 哲三 ( 2020年度: 総合地球環境学研究所, 研究部, 所長 )= 0.0038754034601773506
善甫 啓一 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0038259148801546134
建部 修見 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0038110941384152863
蓮見 孝 ( 2020年度: 札幌市立大学, デザイン学部, 専門研究員 )= 0.0037829987822876714
鈴木 雅和 ( 2020年度: 筑波大学, 芸術系(名誉教授), 名誉教授 )= 0.0037183602738103823
野中 勝利 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0037183602738103823
工藤 博幸 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0037033416145735615
金子 守 ( 2020年度: 筑波大学, システム情報系, 名誉教授 )= 0.003697274725760348
山中 弘 ( 2020年度: 筑波大学, 人文社会系(名誉教授), 名誉教授 )= 0.003641121009930195
河辺 徹 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.003602258743558358
倉田 久 ( 2020年度: 横浜国立大学, 大学院国際社会科学研究院, 教授 )= 0.003559099626985264
生稲 史彦 ( 2020年度: 中央大学, 戦略経営研究科, 教授 )= 0.003559099626985264
滝沢 穂高 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.003427792380555441
宮本 定明 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0033970930873019186
塩川 浩昭 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.0033752692812236327
早瀬 康裕 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0033752692812236327
蔡 東生 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.003370169805717396
三友 奈々 ( 2020年度: 日本大学, 理工学部, 助教 )= 0.003288359685865398
福井 和広 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0032285146664592593
杉田 倫明 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0032236066159838745
堤 純 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.00319184756961301
吉田 友彦 ( 2020年度: 立命館大学, 政策科学部, 教授 )= 0.003177445882778878
岡本 直久 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.003175642330765363
若槻 尚斗 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0031752537011172665
水谷 孝一 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0031752537011172665
寺門 臨太郎 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.0031619894439917154
山本 芳嗣 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.003105792246476782
川崎 真弘 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0030749167539560443
山下 清海 ( 2020年度: 立正大学, 地球環境科学部, 教授 )= 0.0030664303725118844
兼子 純 ( 2020年度: 愛媛大学, 法文学部, 教授 )= 0.0030664303725118844
森 正夫 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.003025080218280441
直江 俊雄 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0030067001651010814
内山 俊朗 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.0029910652096394623
陳 漢雄 ( 2020年度: 筑波大学, システム情報系, 講師 )= 0.0029900180660630345
今倉 暁 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0028204728928522818
栗野 盛光 ( 2020年度: 慶應義塾大学, 経済学部(三田), 教授 )= 0.002759006214800033
谷村 秀彦 ( 2020年度: 公益財団法人アジア成長研究所, 研究部, その他(顧問) )= 0.0027313796585249623
橋本 悠希 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0027242634774474004
吉田 正人 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.002712014992871902
日下 博幸 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.002703891619943662
佐野 良夫 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0026802622499108677
李 頡 ( 2020年度: 筑波大学, システム情報系, 客員教授 )= 0.0026718972812625904
石田 東生 ( 2020年度: 日本大学, 理工学部, 特任教授 )= 0.0026447471238950715
佐々木 建昭 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0025085954355042665
海老原 格 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0024881370946841304
前田 祐佳 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0024881370946841304
山田 博之 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.002462250440080004
中川 正 ( 2020年度: 三重大学, 人文学部, 教授 )= 0.002450842325416967
古瀬 一隆 ( 2020年度: 白鴎大学, 経営学部, 准教授 )= 0.00243635347680206
川島 宏一 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.002415730667760977
吉田 奈穂子 ( 2020年度: 筑波大学, 芸術系, 助教 )= 0.0023953450926157372
朝田 隆 ( 2020年度: 東京医科歯科大学, その他の部局等, 特任教授 )= 0.002367604694154962
田中 文英 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.002363807405000608
川村 洋平 ( 2020年度: 秋田大学, 国際資源学研究科, 教授 )= 0.0023293307292123304
五十嵐 浩也 ( 2020年度: 筑波大学, 芸術系, 特命教授 )= 0.0022809256050590394
原田 泰 ( 2020年度: 公立はこだて未来大学, システム情報科学部, 教授 )= 0.002260084918704003
亀田 壽夫 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.002253229093197936
安東 弘泰 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.002244650474732005
保國 惠一 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0022392767802367074
椎名 毅 ( 2020年度: 京都大学, 医学研究科, 教授 )= 0.0022341787387480314
須山 聡 ( 2020年度: 駒澤大学, 文学部, 教授 )= 0.002222769095269902
羽田 康司 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0022216935357224844
大槻 麻衣 ( 2020年度: 国立研究開発法人産業技術総合研究所, 情報・人間工学領域, 主任研究員 )= 0.0022216935357224844
市川 康夫 ( 2020年度: 埼玉大学, 人文社会科学研究科, 准教授 )= 0.002218071844625225
下田 一太 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.002179377071163931
宇陀 則彦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.002146780218480501
松井 敏也 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.002146062245153344
尹 之恩 ( 2020年度: 筑波大学, テーラーメイドQOLプログラム開発研究センター, 研究員 )= 0.0021043520944215586
森田 ひろみ ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0020984518995805926
今井 仁司 ( 2020年度: 同志社大学, 理工学部, 教授 )= 0.00202928433428657
張 振亜 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0019707455945644978
阿武 秀和 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0019061762548932145
石川 佳治 ( 2020年度: 名古屋大学, 情報学研究科, 教授 )= 0.001897922229844706
庄司 功 ( 2020年度: 東京理科大学, 経営学部ビジネスエコノミクス学科, 教授 )= 0.001897922229844706
上野 健一 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0018871971320541061
後藤 順哉 ( 2020年度: 中央大学, 理工学部, 教授 )= 0.0018487591558911073
小田 宏信 ( 2020年度: 成蹊大学, 経済学部, 教授 )= 0.0017595725102731035
高橋 徹 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0017530035339042359
仁平 尊明 ( 2020年度: 北海道大学, 文学研究院, 准教授 )= 0.0017392011295042236
鄭 仁豪 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0017209121158654115
長谷川 泰久 ( 2020年度: 名古屋大学, 工学研究科, 教授 )= 0.0016937449234343388
石川 竜一郎 ( 2020年度: 早稲田大学, 国際学術院, 教授 )= 0.0016741044310863698
吉岡 聖美 ( 2020年度: 明星大学, デザイン学部, 准教授 )= 0.0016555849493417479
和田 健太郎 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0016305350358247646
池内 淳 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0016161167699958842
上保 秀夫 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0016161167699958842
逸村 裕 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0016161167699958842
鄭 小平 ( 2020年度: 立命館大学, 経済学部, 教授 )= 0.0016131521752355941
唐木 清志 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0015883397432306455
山本 亨輔 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.0015807819665328048
谷口 陽子 ( 2020年度: 筑波大学, 人文社会系, 准教授 )= 0.0015676345385510326
梅本 通孝 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0015644160938183454
安仁屋 政武 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0015406788395057065
藤代 一成 ( 2020年度: 慶應義塾大学, 理工学部(矢上), 教授 )= 0.001504685695055051
王 碧昭 ( 2020年度: 筑波大学, 生命環境系, 教授
2020年度: 流通経済大学, 経済学部, 教授 )= 0.0014942728351600384
大澤 良 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0014942728351600384
箕輪 真理 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0014942728351600384
河瀬 眞琴 ( 2020年度: 東京農業大学, 農学部, 教授 )= 0.0014942728351600384
首藤 久人 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0014942728351600384
吉岡 洋輔 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0014942728351600384
渡邉 和男 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0014942728351600384
伊藤 太一 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0014942728351600384
田中 喜代次 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0014891702805407427
ＶＡＳＩＬＡＣＨＥ ＳＩＭＯＮＡ ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.00148528325523457
齋藤 敏寿 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.0014798377403369952
